Flow In,Flow Out,Efficiency,Longest Wait,Total Wait,0,1,2,3,4,5,6,7,8
42,42,100.0,0.0,0,42,42,13,13,29,29,29,42,0
53,53,100.0,0.0,0,53,53,17,17,36,36,36,53,0
49,45,91.837,41.796,1024,49,45,13,13,32,32,32,45,0
44,44,100.0,0.0,0,44,44,8,8,36,36,36,44,0
54,50,92.593,37.689,1018,54,50,13,13,37,37,37,50,0
50,50,100.0,0.0,0,50,50,14,14,36,36,36,50,0
37,37,100.0,0.0,0,37,37,7,7,30,30,30,37,0
52,52,100.0,0.0,0,52,52,15,15,37,37,37,52,0
50,50,100.0,0.0,0,50,50,10,10,40,40,40,50,0
53,53,100.0,0.0,0,53,53,13,13,40,40,40,53,0
62,52,83.871,92.624,2732,62,62,18,18,44,43,43,52,0
55,55,100.0,64.286,514,55,55,16,8,39,39,39,47,8
47,47,100.0,0.0,0,47,47,9,9,38,38,38,47,0
33,33,100.0,0.0,0,33,33,4,4,29,29,29,33,0
58,58,100.0,265.263,2520,58,58,19,3,39,39,39,42,16
50,50,100.0,0.0,0,50,50,10,10,40,40,40,50,0
52,39,75.0,203.007,4212,52,51,10,10,41,29,29,39,0
64,53,82.812,139.73,4184,64,64,16,5,48,37,37,42,11
60,56,93.333,46.909,1032,60,60,16,16,44,40,40,56,0
60,53,88.333,80.244,1926,60,60,12,12,48,41,41,53,0
47,46,97.872,13.714,240,47,47,12,12,35,34,34,46,0
44,44,100.0,0.0,0,44,44,13,13,31,31,31,44,0
45,45,100.0,0.0,0,45,45,7,7,38,38,38,45,0
57,46,80.702,147.578,3394,57,57,11,11,46,35,35,46,0
45,45,100.0,0.0,0,45,45,11,11,34,34,34,45,0
49,49,100.0,0.0,0,49,49,12,12,37,37,37,49,0
41,41,100.0,0.0,0,41,41,4,4,37,37,37,41,0
47,47,100.0,0.0,0,47,47,12,12,35,35,35,47,0
42,42,100.0,0.0,0,42,42,8,8,34,34,34,42,0
43,43,100.0,60.0,240,43,43,8,4,35,35,35,39,4
40,40,100.0,0.0,0,40,40,12,12,28,28,28,40,0
40,40,100.0,0.0,0,40,40,13,13,27,27,27,40,0
60,60,100.0,174.359,1569,60,60,18,3,42,42,42,45,15
46,46,100.0,0.0,0,46,46,13,13,33,33,33,46,0
55,49,89.091,78.095,1640,55,55,13,13,42,36,36,49,0
50,45,90.0,65.041,1333,50,50,9,9,41,36,36,45,0
41,41,100.0,0.0,0,41,41,12,12,29,29,29,41,0
50,50,100.0,0.0,0,50,50,17,17,33,33,33,50,0
46,46,100.0,0.0,0,46,46,13,13,33,33,33,46,0
49,49,100.0,0.0,0,49,49,11,11,38,38,38,49,0
55,55,100.0,0.0,0,55,55,17,17,38,38,38,55,0
51,48,94.118,40.06,761,51,51,13,13,38,35,35,48,0
