Flow In,Flow Out,Efficiency,Longest Wait,Total Wait,0,1,2,3,4,5,6,7,8
42,42,100.0,0.0,0,42,42,10,10,32,32,32,42,0
49,49,100.0,0.0,0,49,49,14,14,35,35,35,49,0
50,48,96.0,25.281,493,50,50,11,11,39,37,37,48,0
53,53,100.0,90.667,816,53,53,18,6,35,35,35,41,12
38,38,100.0,0.0,0,38,38,9,9,29,29,29,38,0
43,43,100.0,0.0,0,43,43,8,8,35,35,35,43,0
51,50,98.039,11.163,240,51,51,8,8,43,42,42,50,0
52,52,100.0,0.0,0,52,52,8,8,44,44,44,52,0
44,44,100.0,0.0,0,44,44,7,7,37,37,37,44,0
47,47,100.0,0.0,0,47,47,13,13,34,34,34,47,0
43,43,100.0,0.0,0,43,43,8,8,35,35,35,43,0
45,45,100.0,0.0,0,45,45,8,8,37,37,37,45,0
53,45,84.906,120.695,2354,53,53,14,14,39,31,31,45,0
38,38,100.0,0.0,0,38,38,6,6,32,32,32,38,0
40,40,100.0,0.0,0,40,40,9,9,31,31,31,40,0
58,55,94.828,40.0,993,58,58,12,9,46,43,43,52,3
46,46,100.0,112.0,840,46,46,15,4,31,31,31,35,11
52,47,90.385,77.714,1360,52,52,17,17,35,30,30,47,0
51,48,94.118,40.06,761,51,51,13,13,38,35,35,48,0
60,60,100.0,139.005,1182,60,60,17,4,43,43,43,47,13
39,39,100.0,0.0,0,39,39,13,13,26,26,26,39,0
60,54,90.0,56.286,1504,60,60,14,14,46,44,44,54,0
50,42,84.0,128.835,2383,50,50,13,13,37,29,29,42,0
52,43,82.692,286.768,4162,52,43,17,3,26,26,26,29,14
55,51,92.727,36.963,1016,55,51,13,13,38,38,38,51,0
45,44,97.778,10.667,240,45,45,12,12,33,33,33,44,0
50,49,98.0,13.333,240,50,50,14,14,36,35,35,49,0
53,47,88.679,74.067,1629,53,53,9,9,44,38,38,47,0
45,45,100.0,0.0,0,45,45,13,13,32,32,32,45,0
57,57,100.0,188.235,1600,57,57,17,3,40,40,40,43,14
53,52,98.113,9.057,240,53,53,15,15,38,38,38,52,0
41,41,100.0,0.0,0,41,41,9,9,32,32,32,41,0
52,50,96.154,21.412,480,52,52,12,12,40,39,39,50,0
51,51,100.0,0.0,0,51,51,16,16,35,35,35,51,0
53,53,100.0,163.636,900,53,53,11,2,42,42,42,44,9
47,39,82.979,128.835,2383,47,47,10,10,37,29,29,39,0
54,54,100.0,0.0,0,54,54,11,11,43,43,43,54,0
46,46,100.0,0.0,0,46,46,6,6,40,40,40,46,0
48,48,100.0,0.0,0,48,48,14,14,34,34,34,48,0
44,44,100.0,0.0,0,44,44,8,8,36,36,36,44,0
49,49,100.0,0.0,0,49,49,12,12,37,37,37,49,0
52,52,100.0,0.0,0,52,52,12,12,40,40,40,52,0
47,47,100.0,0.0,0,47,47,9,9,38,38,38,47,0
61,54,88.525,125.488,2381,61,54,16,8,38,38,38,46,8
47,47,100.0,0.0,0,47,47,14,14,33,33,33,47,0
46,45,97.826,14.545,240,46,46,13,13,33,32,32,45,0
45,45,100.0,0.0,0,45,45,8,8,37,37,37,45,0
45,45,100.0,80.559,524,45,45,13,5,32,32,32,37,8
57,54,94.737,27.895,729,57,57,11,11,46,45,45,54,0
54,54,100.0,68.923,517,54,54,15,7,39,39,39,46,8
64,51,79.688,120.441,3854,64,51,12,12,39,39,39,51,0
48,48,100.0,209.879,1994,48,48,19,3,29,29,29,32,16
49,49,100.0,0.0,0,49,49,14,14,35,35,35,49,0
57,57,100.0,162.406,1543,57,57,19,4,38,38,38,42,15
45,45,100.0,0.0,0,45,45,13,13,32,32,32,45,0
56,53,94.643,32.031,753,56,56,9,9,47,44,44,53,0
49,49,100.0,0.0,0,49,49,10,10,39,39,39,49,0
63,55,87.302,139.005,3455,63,63,17,4,46,38,38,42,13
37,37,100.0,0.0,0,37,37,10,10,27,27,27,37,0
54,54,100.0,0.0,0,54,54,9,9,45,45,45,54,0
50,50,100.0,0.0,0,50,50,15,15,35,35,35,50,0
50,50,100.0,0.0,0,50,50,14,14,36,36,36,50,0
34,34,100.0,0.0,0,34,34,8,8,26,26,26,34,0
52,52,100.0,0.0,0,52,52,14,14,38,38,38,52,0
59,50,84.746,247.619,4373,59,59,14,2,45,36,36,38,12
42,42,100.0,129.524,1166,42,42,18,4,24,24,24,28,14
40,33,82.5,116.571,2040,40,40,5,5,35,28,28,33,0
51,51,100.0,0.0,0,51,51,12,12,39,39,39,51,0
46,44,95.652,25.281,493,46,46,7,7,39,37,37,44,0
60,55,91.667,42.909,1287,60,55,11,11,44,44,44,55,0
46,46,100.0,0.0,0,46,46,10,10,36,36,36,46,0
52,48,92.308,42.47,982,52,52,9,9,43,41,41,48,0
51,51,100.0,0.0,0,51,51,11,11,40,40,40,51,0
48,48,100.0,0.0,0,48,48,10,10,38,38,38,48,0
48,42,87.5,85.035,1658,48,48,9,9,39,33,33,42,0
45,45,100.0,0.0,0,45,45,13,13,32,32,32,45,0
39,39,100.0,0.0,0,39,39,8,8,31,31,31,39,0
35,35,100.0,0.0,0,35,35,16,16,19,19,19,35,0
52,52,100.0,0.0,0,52,52,10,10,42,42,42,52,0
47,47,100.0,34.286,240,47,47,14,12,33,33,33,45,2
53,44,83.019,120.623,2654,53,53,9,9,44,35,35,44,0
52,52,100.0,0.0,0,52,52,14,14,38,38,38,52,0
48,48,100.0,0.0,0,48,48,16,16,32,32,32,48,0
56,47,83.929,120.695,2594,56,56,17,16,39,31,31,47,0
54,54,100.0,88.0,528,54,54,12,4,42,42,42,46,8
57,50,87.719,85.439,1875,57,57,14,14,43,37,37,50,0
43,38,88.372,72.973,1350,43,43,6,6,37,32,32,38,0
41,38,92.683,51.556,773,41,41,11,11,30,27,27,38,0
46,46,100.0,0.0,0,46,46,7,7,39,39,39,46,0
55,55,100.0,0.0,0,55,55,13,13,42,42,42,55,0
53,53,100.0,0.0,0,53,53,13,13,40,40,40,53,0
49,48,97.959,12.632,240,49,49,11,11,38,37,37,48,0
49,49,100.0,0.0,0,49,49,11,11,38,38,38,49,0
59,58,98.305,10.0,240,59,59,11,11,48,47,47,58,0
53,44,83.019,131.707,2700,53,53,12,12,41,32,32,44,0
47,47,100.0,0.0,0,47,47,6,6,41,41,41,47,0
62,54,87.097,69.964,2169,62,54,10,10,44,44,44,54,0
49,49,100.0,0.0,0,49,49,12,12,37,37,37,49,0
53,49,92.453,38.444,1019,53,49,10,10,39,39,39,49,0
48,48,100.0,0.0,0,48,48,9,9,39,39,39,48,0
52,48,92.308,50.626,1038,52,52,11,11,41,37,37,48,0
56,53,94.643,26.667,733,56,56,18,17,38,36,36,53,0
52,52,100.0,0.0,0,52,52,8,8,44,44,44,52,0
47,47,100.0,0.0,0,47,47,11,11,36,36,36,47,0
45,45,100.0,0.0,0,45,45,11,11,34,34,34,45,0
52,45,86.538,96.413,1976,52,52,11,11,41,34,34,45,0
41,41,100.0,0.0,0,41,41,14,14,27,27,27,41,0
49,49,100.0,0.0,0,49,49,13,13,36,36,36,49,0
54,51,94.444,27.712,748,54,51,13,13,38,38,38,51,0
