Flow In,Flow Out,Efficiency,Longest Wait,Total Wait
50,46,92.0,50.526,1036
52,48,92.308,40.0,1020
49,49,100.0,0.0,0
46,46,100.0,0.0,0
48,47,97.917,34.286,240
51,50,98.039,36.923,240
46,42,91.304,174.545,1222
52,48,92.308,51.892,1038
49,47,95.918,63.546,480
48,48,100.0,0.0,0
48,41,85.417,101.818,1985
48,45,93.75,32.0,752
55,52,94.545,36.923,757
56,52,92.857,36.923,1015
49,49,100.0,0.0,0
53,42,79.245,125.714,3269
49,47,95.918,20.426,490
50,49,98.0,9.796,240
54,50,92.593,45.714,1029
57,49,85.965,103.784,2283
46,46,100.0,0.0,0
46,43,93.478,43.636,764
55,51,92.727,40.0,1000
47,47,100.0,0.0,0
54,51,94.444,37.895,758
48,43,89.583,68.571,1337
51,46,90.196,73.739,1263
49,49,100.0,0.0,0
50,46,92.0,41.739,1023
51,38,74.51,164.211,4105
43,41,95.349,96.0,528
49,44,89.796,83.636,1265
58,49,84.483,110.769,2603
51,51,100.0,0.0,0
48,47,97.917,10.213,240
47,47,100.0,0.0,0
49,46,93.878,38.919,759
55,48,87.273,108.571,1774
43,43,100.0,0.0,0
44,44,100.0,0.0,0
46,46,100.0,0.0,0
47,41,87.234,87.273,1658
52,44,84.615,87.273,2225
55,49,89.091,150.972,1722
44,44,100.0,0.0,0
54,49,90.741,48.98,1298
50,50,100.0,0.0,0
42,42,100.0,0.0,0
53,48,90.566,66.667,1333
53,45,84.906,184.242,2158
48,45,93.75,43.636,764
53,49,92.453,94.502,1045
57,49,85.965,78.367,2194
47,47,100.0,0.0,0
53,50,94.34,29.867,730
50,50,100.0,0.0,0
53,42,79.245,160.0,3440
49,48,97.959,32.0,240
52,44,84.615,106.909,2208
54,53,98.148,34.286,240
52,42,80.769,114.286,2914
45,45,100.0,0.0,0
51,44,86.275,76.364,1909
55,43,78.182,185.474,3419
51,50,98.039,36.923,240
54,50,92.593,137.143,1166
46,43,93.478,42.353,762
49,48,97.959,30.0,240
50,46,92.0,41.739,1023
52,45,86.538,98.824,1976
51,51,100.0,0.0,0
49,49,100.0,0.0,0
55,44,80.0,124.364,2941
41,41,100.0,0.0,0
50,45,90.0,300.0,1800
49,48,97.959,12.308,240
57,43,75.439,186.667,4573
56,49,87.5,157.388,1901
59,41,69.492,223.537,5296
48,48,100.0,0.0,0
51,43,84.314,90.447,2154
43,41,95.349,96.0,528
59,48,81.356,128.571,2860
44,44,100.0,0.0,0
53,52,98.113,11.707,240
46,46,100.0,0.0,0
55,43,78.182,393.488,4353
45,45,100.0,0.0,0
49,41,83.673,116.364,2327
44,43,97.727,36.923,240
50,50,100.0,0.0,0
53,47,88.679,87.273,1658
56,50,89.286,65.455,1604
53,48,90.566,171.429,1543
52,52,100.0,0.0,0
48,48,100.0,0.0,0
50,44,88.0,65.455,1604
55,48,87.273,86.154,1938
47,46,97.872,43.636,240
50,47,94.0,32.133,730
43,43,100.0,0.0,0
48,47,97.917,10.213,240
50,48,96.0,24.615,492
43,43,100.0,0.0,0
48,41,85.417,108.387,2005
44,44,100.0,0.0,0
50,50,100.0,0.0,0
46,46,100.0,0.0,0
46,43,93.478,36.923,757
51,51,100.0,0.0,0
60,52,86.667,85.263,2065
43,43,100.0,0.0,0
51,50,98.039,12.308,240
50,47,94.0,60.426,730
