Flow In,Flow Out,Efficiency,Longest Wait,Total Wait
50,47,94.0,96.0,816
66,53,80.303,138.667,3707
42,40,95.238,30.0,495
44,44,100.0,0.0,0
46,46,100.0,0.0,0
61,53,86.885,109.714,2304
49,48,97.959,12.308,240
43,43,100.0,0.0,0
55,54,98.182,32.0,240
45,45,100.0,0.0,0
49,47,95.918,26.667,493
41,41,100.0,0.0,0
46,41,89.13,240.0,1680
41,41,100.0,0.0,0
46,46,100.0,0.0,0
56,53,94.643,37.895,758
53,49,92.453,44.855,982
43,43,100.0,0.0,0
30,30,100.0,0.0,0
53,51,96.226,24.0,492
44,43,97.727,32.0,240
60,50,83.333,113.501,2821
50,46,92.0,60.0,1050
44,40,90.909,192.0,1248
51,42,82.353,148.966,2756
49,49,100.0,0.0,0
56,46,82.143,145.455,3055
45,45,100.0,0.0,0
51,39,76.471,192.0,3936
61,54,88.525,76.364,1909
55,40,72.727,257.143,5400
49,49,100.0,0.0,0
45,43,95.556,30.968,495
47,47,100.0,0.0,0
42,34,80.952,166.957,2504
38,38,100.0,0.0,0
51,50,98.039,11.163,240
59,42,71.186,240.0,5800
