Flow In,Flow Out,Efficiency,Longest Wait,Total Wait
47,44,93.617,41.143,761
52,46,88.462,320.0,2240
49,49,100.0,0.0,0
57,49,85.965,78.367,2194
48,48,100.0,0.0,0
60,60,100.0,0.0,0
35,34,97.143,36.923,240
49,49,100.0,0.0,0
58,58,100.0,0.0,0
42,42,100.0,0.0,0
42,42,100.0,0.0,0
47,47,100.0,0.0,0
57,51,89.474,73.846,1625
47,46,97.872,14.545,240
45,45,100.0,0.0,0
57,50,87.719,77.838,1875
42,42,100.0,0.0,0
57,46,80.702,261.818,3432
64,48,75.0,225.882,5534
50,47,94.0,46.452,766
38,38,100.0,0.0,0
53,48,90.566,50.0,1300
47,46,97.872,12.973,240
53,46,86.792,73.043,1899
70,55,78.571,130.909,4516
59,56,94.915,25.714,746
51,48,94.118,68.571,754
48,47,97.917,30.0,240
40,40,100.0,0.0,0
49,44,89.796,77.419,1355
53,50,94.34,160.0,880
62,53,85.484,78.746,2320
49,49,100.0,0.0,0
45,45,100.0,0.0,0
38,38,100.0,0.0,0
46,44,95.652,21.818,491
42,37,88.095,88.889,1378
37,37,100.0,0.0,0
50,42,84.0,109.714,2304
47,47,100.0,0.0,0
50,47,94.0,41.143,761
43,43,100.0,0.0,0
57,51,89.474,72.0,1620
46,46,100.0,0.0,0
54,54,100.0,0.0,0
36,36,100.0,0.0,0
57,53,92.982,40.312,980
42,42,100.0,0.0,0
59,49,83.051,133.333,3000
50,50,100.0,0.0,0
59,59,100.0,0.0,0
46,46,100.0,0.0,0
46,46,100.0,0.0,0
49,49,100.0,0.0,0
41,41,100.0,0.0,0
53,50,94.34,36.0,756
44,44,100.0,0.0,0
50,47,94.0,120.0,840
46,44,95.652,80.0,520
64,57,89.062,60.818,1804
46,46,100.0,0.0,0
49,49,100.0,0.0,0
56,46,82.143,129.73,2984
43,43,100.0,0.0,0
43,42,97.674,36.923,240
45,44,97.778,13.714,240
40,34,85.0,110.769,1717
47,47,100.0,0.0,0
47,47,100.0,0.0,0
53,42,79.245,160.0,3440
54,52,96.296,56.471,508
66,52,78.788,180.718,4400
51,51,100.0,0.0,0
42,42,100.0,0.0,0
37,37,100.0,0.0,0
37,37,100.0,0.0,0
52,52,100.0,0.0,0
58,58,100.0,0.0,0
47,47,100.0,0.0,0
60,51,85.0,120.0,2640
47,47,100.0,0.0,0
34,34,100.0,0.0,0
44,42,95.455,30.968,495
52,52,100.0,0.0,0
51,47,92.157,54.857,1042
56,50,89.286,77.838,1635
51,46,90.196,63.158,1326
61,52,85.246,127.04,2353
57,52,91.228,57.143,1314
51,49,96.078,68.571,480
49,46,93.878,43.636,764
43,43,100.0,0.0,0
56,44,78.571,164.571,3785
49,47,95.918,26.667,493
60,49,81.667,142.703,3354
47,47,100.0,0.0,0
53,47,88.679,221.538,1994
58,54,93.103,80.0,1011
56,52,92.857,45.714,1029
53,53,100.0,0.0,0
47,42,89.362,75.0,1350
56,56,100.0,0.0,0
45,45,100.0,0.0,0
39,39,100.0,0.0,0
48,47,97.917,40.0,240
47,44,93.617,80.0,760
37,37,100.0,0.0,0
41,41,100.0,0.0,0
46,46,100.0,0.0,0
48,48,100.0,0.0,0
46,46,100.0,0.0,0
46,46,100.0,0.0,0
56,50,89.286,72.0,1620
44,42,95.455,80.0,520
40,40,100.0,0.0,0
57,52,91.228,266.667,1733
59,49,83.051,97.959,2841
41,41,100.0,0.0,0
57,53,92.982,36.226,1014
51,51,100.0,0.0,0
49,49,100.0,0.0,0
50,50,100.0,0.0,0
40,40,100.0,0.0,0
49,49,100.0,0.0,0
38,38,100.0,0.0,0
55,43,78.182,180.0,3870
41,41,100.0,0.0,0
56,52,92.857,48.0,1032
60,41,68.333,325.714,7491
41,41,100.0,0.0,0
53,52,98.113,10.909,240
57,46,80.702,128.78,3284
50,44,88.0,82.286,1646
57,57,100.0,0.0,0
46,46,100.0,0.0,0
54,53,98.148,12.0,240
55,32,58.182,613.333,12267
51,51,100.0,0.0,0
61,45,73.77,274.286,5897
54,54,100.0,0.0,0
57,44,77.193,195.0,4290
54,46,85.185,160.0,2210
55,55,100.0,0.0,0
51,51,100.0,0.0,0
52,49,94.231,73.846,757
49,49,100.0,0.0,0
55,54,98.182,12.0,240
44,44,100.0,0.0,0
59,56,94.915,130.909,851
48,48,100.0,0.0,0
52,44,84.615,384.0,3264
63,56,88.889,72.0,1860
44,44,100.0,0.0,0
56,56,100.0,0.0,0
59,58,98.305,8.276,240
53,53,100.0,0.0,0
43,43,100.0,0.0,0
54,54,100.0,0.0,0
45,42,93.333,41.143,761
54,54,100.0,0.0,0
42,42,100.0,0.0,0
48,34,70.833,268.8,5107
56,56,100.0,0.0,0
39,39,100.0,0.0,0
46,46,100.0,0.0,0
50,50,100.0,0.0,0
44,44,100.0,0.0,0
44,41,93.182,130.909,851
43,43,100.0,0.0,0
55,54,98.182,32.0,240
53,53,100.0,0.0,0
39,39,100.0,0.0,0
49,49,100.0,0.0,0
53,52,98.113,48.0,240
45,45,100.0,0.0,0
46,42,91.304,61.935,1053
55,46,83.636,135.0,2700
45,45,100.0,0.0,0
56,56,100.0,0.0,0
50,50,100.0,0.0,0
53,46,86.792,90.811,1952
52,50,96.154,28.235,494
48,48,100.0,0.0,0
64,44,68.75,305.455,6851
45,41,91.111,56.471,1045
61,40,65.574,312.828,7513
53,50,94.34,38.919,759
59,57,96.61,80.0,520
56,56,100.0,0.0,0
50,46,92.0,53.333,1040
52,47,90.385,200.0,1600
45,45,100.0,0.0,0
58,50,86.207,102.857,2156
50,50,100.0,0.0,0
55,46,83.636,110.769,2603
49,49,100.0,0.0,0
42,42,100.0,0.0,0
56,55,98.214,40.0,240
43,43,100.0,0.0,0
45,45,100.0,0.0,0
48,45,93.75,40.0,760
51,51,100.0,0.0,0
56,46,82.143,116.239,2754
60,52,86.667,320.0,3040
39,39,100.0,0.0,0
37,37,100.0,0.0,0
44,44,100.0,0.0,0
55,55,100.0,0.0,0
46,43,93.478,41.143,761
58,56,96.552,64.0,512
56,46,82.143,123.17,2715
59,48,81.356,130.526,3103
52,51,98.077,40.0,240
39,39,100.0,0.0,0
49,44,89.796,68.571,1337
59,48,81.356,142.703,3354
55,55,100.0,0.0,0
45,35,77.778,171.429,3171
44,44,100.0,0.0,0
55,51,92.727,40.851,1021
50,49,98.0,12.0,240
49,49,100.0,0.0,0
44,44,100.0,0.0,0
43,43,100.0,0.0,0
46,46,100.0,0.0,0
50,48,96.0,80.0,520
50,50,100.0,0.0,0
42,42,100.0,0.0,0
46,40,86.957,288.0,2160
58,54,93.103,36.923,995
56,50,89.286,84.706,1652
45,45,100.0,0.0,0
49,46,93.878,96.0,816
57,45,78.947,180.0,3870
50,50,100.0,0.0,0
48,48,100.0,0.0,0
66,57,86.364,75.789,2463
52,52,100.0,0.0,0
45,45,100.0,0.0,0
57,48,84.211,110.769,2603
45,36,80.0,144.0,2736
43,43,100.0,0.0,0
47,43,91.489,60.0,1050
65,51,78.462,147.692,4150
55,45,81.818,299.465,3111
47,47,100.0,0.0,0
46,45,97.826,13.333,240
50,45,90.0,70.588,1341
50,50,100.0,0.0,0
40,40,100.0,0.0,0
52,46,88.462,77.838,1635
48,44,91.667,54.857,1042
50,43,86.0,90.588,1831
57,52,91.228,160.0,1440
55,48,87.273,90.811,1952
60,46,76.667,192.0,4608
46,46,100.0,0.0,0
48,35,72.917,231.111,4507
56,48,85.714,112.941,2315
64,51,79.688,120.421,3470
52,46,88.462,62.609,1597
54,47,87.037,105.0,1995
51,51,100.0,0.0,0
60,50,83.333,106.959,2726
38,38,100.0,0.0,0
37,37,100.0,0.0,0
59,44,74.576,480.0,5255
60,51,85.0,105.366,2581
47,47,100.0,0.0,0
51,51,100.0,0.0,0
50,45,90.0,171.429,1543
48,45,93.75,32.0,752
51,50,98.039,13.714,240
40,40,100.0,0.0,0
51,49,96.078,73.846,517
47,47,100.0,0.0,0
43,43,100.0,0.0,0
56,49,87.5,288.0,2400
52,46,88.462,70.588,1581
40,36,90.0,68.571,1063
44,44,100.0,0.0,0
67,59,88.06,90.0,2122
51,49,96.078,68.571,514
42,42,100.0,0.0,0
52,52,100.0,0.0,0
49,49,100.0,0.0,0
52,50,96.154,26.667,493
51,44,86.275,76.364,1909
54,54,100.0,0.0,0
57,40,70.175,281.379,6331
54,50,92.593,49.231,1034
43,43,100.0,0.0,0
41,41,100.0,0.0,0
44,44,100.0,0.0,0
52,52,100.0,0.0,0
44,44,100.0,0.0,0
54,51,94.444,38.919,759
41,41,100.0,0.0,0
59,44,74.576,165.0,4665
37,37,100.0,0.0,0
40,40,100.0,0.0,0
41,41,100.0,0.0,0
52,52,100.0,0.0,0
34,34,100.0,0.0,0
53,51,96.226,68.571,514
42,42,100.0,0.0,0
38,38,100.0,0.0,0
54,49,90.741,48.98,1298
51,40,78.431,304.0,3280
51,51,100.0,0.0,0
57,53,92.982,44.651,1027
65,53,81.538,117.725,3140
56,46,82.143,137.143,3017
47,47,100.0,0.0,0
47,47,100.0,0.0,0
45,45,100.0,0.0,0
46,46,100.0,0.0,0
45,45,100.0,0.0,0
49,49,100.0,0.0,0
46,46,100.0,0.0,0
57,47,82.456,141.176,3035
45,45,100.0,0.0,0
47,47,100.0,0.0,0
46,37,80.435,130.909,2684
48,48,100.0,0.0,0
44,44,100.0,0.0,0
37,37,100.0,0.0,0
48,48,100.0,0.0,0
43,43,100.0,0.0,0
44,41,93.182,46.452,766
58,46,79.31,158.319,3524
53,40,75.472,183.529,4221
52,52,100.0,0.0,0
50,50,100.0,0.0,0
46,43,93.478,49.655,770
56,48,85.714,116.364,2327
40,40,100.0,0.0,0
64,50,78.125,202.48,3961
56,54,96.429,25.263,493
44,44,100.0,0.0,0
38,38,100.0,0.0,0
49,45,91.837,137.143,1041
47,47,100.0,0.0,0
48,43,89.583,91.636,1265
38,38,100.0,0.0,0
39,39,100.0,0.0,0
55,44,80.0,308.889,3373
55,55,100.0,0.0,0
40,40,100.0,0.0,0
57,50,87.719,90.811,1952
47,47,100.0,0.0,0
57,57,100.0,0.0,0
44,44,100.0,0.0,0
59,50,84.746,94.214,2329
50,50,100.0,0.0,0
49,49,100.0,0.0,0
42,42,100.0,0.0,0
47,43,91.489,60.0,1050
59,49,83.051,97.575,2753
45,45,100.0,0.0,0
45,44,97.778,14.545,240
68,59,86.765,78.98,2303
48,38,79.167,184.615,3231
51,45,88.235,72.0,1620
49,46,93.878,40.0,760
52,46,88.462,80.0,1640
55,52,94.545,130.909,851
40,40,100.0,0.0,0
52,52,100.0,0.0,0
40,40,100.0,0.0,0
60,52,86.667,76.19,2065
44,44,100.0,0.0,0
60,54,90.0,55.944,1527
46,46,100.0,0.0,0
45,45,100.0,0.0,0
42,34,80.952,147.692,2437
56,51,91.071,60.0,1320
36,36,100.0,0.0,0
49,49,100.0,0.0,0
43,43,100.0,0.0,0
41,41,100.0,0.0,0
51,51,100.0,0.0,0
