Flow In,Flow Out,Efficiency,Longest Wait,Total Wait
55,55,100.0,0.0,0
49,47,95.918,96.0,528
61,55,90.164,102.857,1578
61,55,90.164,120.0,1593
57,52,91.228,46.154,1292
49,48,97.959,13.714,240
54,53,98.148,10.909,240
50,39,78.0,176.0,3520
52,44,84.615,105.0,2235
56,54,96.429,17.778,489
70,56,80.0,163.902,4425
44,44,100.0,0.0,0
46,44,95.652,27.429,494
56,56,100.0,0.0,0
47,47,100.0,0.0,0
41,41,100.0,0.0,0
36,36,100.0,0.0,0
60,56,93.333,110.769,1071
53,53,100.0,0.0,0
45,42,93.333,45.0,765
55,40,72.727,210.113,4473
54,44,81.481,120.28,2715
46,46,100.0,0.0,0
48,38,79.167,160.0,3120
56,50,89.286,77.838,1635
45,41,91.111,61.935,1053
44,44,100.0,0.0,0
55,46,83.636,118.625,2446
63,55,87.302,79.515,2053
57,53,92.982,36.226,1014
58,50,86.207,78.514,2118
56,47,83.929,113.684,2615
53,38,71.698,248.276,5338
45,40,88.889,300.0,1800
41,41,100.0,0.0,0
42,42,100.0,0.0,0
51,51,100.0,0.0,0
43,43,100.0,0.0,0
56,45,80.357,150.857,3394
48,48,100.0,0.0,0
52,49,94.231,36.0,756
45,37,82.222,384.0,3264
41,41,100.0,0.0,0
39,37,94.872,30.968,495
59,58,98.305,30.0,240
37,37,100.0,0.0,0
49,38,77.551,182.069,3550
52,40,76.923,174.545,3840
42,42,100.0,0.0,0
51,48,94.118,110.769,831
64,50,78.125,133.935,4048
53,50,94.34,38.919,759
41,36,87.805,100.0,1400
57,53,92.982,192.0,1248
58,56,96.552,24.0,492
57,45,78.947,144.574,3254
61,46,75.41,211.765,5082
58,58,100.0,0.0,0
46,46,100.0,0.0,0
42,41,97.619,34.286,240
51,48,94.118,36.0,756
44,44,100.0,0.0,0
46,46,100.0,0.0,0
57,50,87.719,93.333,1960
47,43,91.489,160.0,1200
45,42,93.333,144.0,864
54,52,96.296,24.615,492
47,47,100.0,0.0,0
55,50,90.909,68.571,1337
40,40,100.0,0.0,0
42,42,100.0,0.0,0
40,40,100.0,0.0,0
45,45,100.0,0.0,0
50,50,100.0,0.0,0
47,42,89.362,218.182,1636
55,52,94.545,130.909,851
54,41,75.926,205.714,4251
60,52,86.667,75.828,2008
54,51,94.444,96.0,768
54,52,96.296,24.0,492
45,38,84.444,120.0,2040
40,40,100.0,0.0,0
43,43,100.0,0.0,0
48,48,100.0,0.0,0
54,32,59.259,502.857,10560
42,42,100.0,0.0,0
54,43,79.63,146.667,3373
47,47,100.0,0.0,0
48,46,95.833,25.946,493
47,38,80.851,166.154,2825
58,47,81.034,586.667,5573
51,51,100.0,0.0,0
48,48,100.0,0.0,0
42,42,100.0,0.0,0
43,43,100.0,0.0,0
56,52,92.857,49.87,1001
50,47,94.0,42.353,762
51,51,100.0,0.0,0
40,40,100.0,0.0,0
52,52,100.0,0.0,0
38,38,100.0,0.0,0
55,50,90.909,66.667,1333
56,52,92.857,51.892,1038
54,43,79.63,170.323,3492
45,45,100.0,0.0,0
45,45,100.0,0.0,0
56,54,96.429,22.857,491
48,47,97.917,43.636,240
59,44,74.576,218.182,5127
43,40,93.023,43.636,764
43,43,100.0,0.0,0
44,43,97.727,48.0,240
57,45,78.947,155.676,3736
40,40,100.0,0.0,0
64,46,71.875,379.623,5658
56,53,94.643,102.857,823
41,41,100.0,0.0,0
56,51,91.071,120.0,1332
44,44,100.0,0.0,0
48,48,100.0,0.0,0
47,47,100.0,0.0,0
40,40,100.0,0.0,0
55,55,100.0,0.0,0
43,43,100.0,0.0,0
58,51,87.931,96.0,1968
